L	lambda	gamma	beta	log10_omega_bar	log10_chi	k	log10_kappa_1	log10_kappa_2
180	8.23	13.1	0.93	-2.73	-1.85	8.91	-3.82	2.71
180	8.23	13.1	0.93	-2.28	-1.87	8.91	-3.82	2.71
180	8.23	13.1	0.93	-2.28	-1.85	15.7	-3.82	2.71
180	8.23	13.1	0.93	-2.28	-1.85	8.91	-3.84	2.71
180	8.23	13.1	0.93	-2.28	-1.85	8.91	-3.82	2.37
180	8.23	13.1	0.93	-2.28	-1.85	8.91	-3.82	2.71
71.8	15.3	11.6	0.936	-2.12	-1.05	11.4	-4.36	2.97
143	15.3	11.6	0.936	-2.12	-1.05	11.4	-4.36	2.97
71.8	14.5	11.6	0.936	-2.12	-1.05	11.4	-4.36	2.97
71.8	15.3	14.7	0.936	-2.12	-1.05	11.4	-4.36	2.97
71.8	15.3	11.6	0.78	-2.12	-1.05	11.4	-4.36	2.97
71.8	15.3	11.6	0.936	-3.84	-1.05	11.4	-4.36	2.97
71.8	15.3	11.6	0.936	-2.12	-1.43	11.4	-4.36	2.97
71.8	15.3	11.6	0.936	-2.12	-1.05	25	-4.36	2.97
71.8	15.3	11.6	0.936	-2.12	-1.05	11.4	-4.42	2.97
71.8	15.3	11.6	0.936	-2.12	-1.05	11.4	-4.36	1.11
71.8	14.5	14.7	0.78	-3.84	-1.43	25	-4.42	1.11
143	15.3	14.7	0.78	-3.84	-1.43	25	-4.42	1.11
143	14.5	11.6	0.78	-3.84	-1.43	25	-4.42	1.11
143	14.5	14.7	0.936	-3.84	-1.43	25	-4.42	1.11
143	14.5	14.7	0.78	-2.12	-1.43	25	-4.42	1.11
143	14.5	14.7	0.78	-3.84	-1.05	25	-4.42	1.11
143	14.5	14.7	0.78	-3.84	-1.43	11.4	-4.42	1.11
143	14.5	14.7	0.78	-3.84	-1.43	25	-4.36	1.11
143	14.5	14.7	0.78	-3.84	-1.43	25	-4.42	2.97
143	14.5	14.7	0.78	-3.84	-1.43	25	-4.42	1.11
140	28.7	16	0.855	-3.56	-0.532	22.4	-3.37	1.32
55	28.7	16	0.855	-3.56	-0.532	22.4	-3.37	1.32
140	25.6	16	0.855	-3.56	-0.532	22.4	-3.37	1.32
140	28.7	8.73	0.855	-3.56	-0.532	22.4	-3.37	1.32
140	28.7	16	0.982	-3.56	-0.532	22.4	-3.37	1.32
140	28.7	16	0.855	-2.52	-0.532	22.4	-3.37	1.32
140	28.7	16	0.855	-3.56	-0.69	22.4	-3.37	1.32
140	28.7	16	0.855	-3.56	-0.532	15	-3.37	1.32
140	28.7	16	0.855	-3.56	-0.532	22.4	-2.71	1.32
140	28.7	16	0.855	-3.56	-0.532	22.4	-3.37	2.24
140	25.6	8.73	0.982	-2.52	-0.69	15	-2.71	2.24
55	28.7	8.73	0.982	-2.52	-0.69	15	-2.71	2.24
55	25.6	16	0.982	-2.52	-0.69	15	-2.71	2.24
55	25.6	8.73	0.855	-2.52	-0.69	15	-2.71	2.24
55	25.6	8.73	0.982	-3.56	-0.69	15	-2.71	2.24
55	25.6	8.73	0.982	-2.52	-0.532	15	-2.71	2.24
55	25.6	8.73	0.982	-2.52	-0.69	22.4	-2.71	2.24
55	25.6	8.73	0.982	-2.52	-0.69	15	-3.37	2.24
55	25.6	8.73	0.982	-2.52	-0.69	15	-2.71	1.32
55	25.6	8.73	0.982	-2.52	-0.69	15	-2.71	2.24
151	9.43	10.9	0.807	-2.43	-0.971	7.3	-2.57	1.77
128	9.43	10.9	0.807	-2.43	-0.971	7.3	-2.57	1.77
151	24.5	10.9	0.807	-2.43	-0.971	7.3	-2.57	1.77
151	9.43	7.37	0.807	-2.43	-0.971	7.3	-2.57	1.77
151	9.43	10.9	0.914	-2.43	-0.971	7.3	-2.57	1.77
151	9.43	10.9	0.807	-3.93	-0.971	7.3	-2.57	1.77
151	9.43	10.9	0.807	-2.43	-1.7	7.3	-2.57	1.77
151	9.43	10.9	0.807	-2.43	-0.971	18.5	-2.57	1.77
151	9.43	10.9	0.807	-2.43	-0.971	7.3	-3.97	1.77
151	9.43	10.9	0.807	-2.43	-0.971	7.3	-2.57	1.85
151	24.5	7.37	0.914	-3.93	-1.7	18.5	-3.97	1.85
128	9.43	7.37	0.914	-3.93	-1.7	18.5	-3.97	1.85
128	24.5	10.9	0.914	-3.93	-1.7	18.5	-3.97	1.85
128	24.5	7.37	0.807	-3.93	-1.7	18.5	-3.97	1.85
128	24.5	7.37	0.914	-2.43	-1.7	18.5	-3.97	1.85
128	24.5	7.37	0.914	-3.93	-0.971	18.5	-3.97	1.85
128	24.5	7.37	0.914	-3.93	-1.7	7.3	-3.97	1.85
128	24.5	7.37	0.914	-3.93	-1.7	18.5	-2.57	1.85
128	24.5	7.37	0.914	-3.93	-1.7	18.5	-3.97	1.77
128	24.5	7.37	0.914	-3.93	-1.7	18.5	-3.97	1.85
83.8	32.2	16.7	0.984	-4	-1.49	16.5	-3.65	2.38
25.1	32.2	16.7	0.984	-4	-1.49	16.5	-3.65	2.38
83.8	17.8	16.7	0.984	-4	-1.49	16.5	-3.65	2.38
83.8	32.2	15.9	0.984	-4	-1.49	16.5	-3.65	2.38
83.8	32.2	16.7	0.839	-4	-1.49	16.5	-3.65	2.38
83.8	32.2	16.7	0.984	-2.74	-1.49	16.5	-3.65	2.38
83.8	32.2	16.7	0.984	-4	-0.429	16.5	-3.65	2.38
83.8	32.2	16.7	0.984	-4	-1.49	8.45	-3.65	2.38
83.8	32.2	16.7	0.984	-4	-1.49	16.5	-3.06	2.38
83.8	32.2	16.7	0.984	-4	-1.49	16.5	-3.65	3
83.8	17.8	15.9	0.839	-2.74	-0.429	8.45	-3.06	3
25.1	32.2	15.9	0.839	-2.74	-0.429	8.45	-3.06	3
25.1	17.8	16.7	0.839	-2.74	-0.429	8.45	-3.06	3
25.1	17.8	15.9	0.984	-2.74	-0.429	8.45	-3.06	3
25.1	17.8	15.9	0.839	-4	-0.429	8.45	-3.06	3
25.1	17.8	15.9	0.839	-2.74	-1.49	8.45	-3.06	3
25.1	17.8	15.9	0.839	-2.74	-0.429	16.5	-3.06	3
25.1	17.8	15.9	0.839	-2.74	-0.429	8.45	-3.65	3
25.1	17.8	15.9	0.839	-2.74	-0.429	8.45	-3.06	2.38
25.1	17.8	15.9	0.839	-2.74	-0.429	8.45	-3.06	3
41.3	22	8.7	0.866	-3.36	-1.68	10.8	-4.55	2.79
72.1	22	8.7	0.866	-3.36	-1.68	10.8	-4.55	2.79
41.3	7.09	8.7	0.866	-3.36	-1.68	10.8	-4.55	2.79
41.3	22	14.4	0.866	-3.36	-1.68	10.8	-4.55	2.79
41.3	22	8.7	0.998	-3.36	-1.68	10.8	-4.55	2.79
41.3	22	8.7	0.866	-3.17	-1.68	10.8	-4.55	2.79
41.3	22	8.7	0.866	-3.36	-0.855	10.8	-4.55	2.79
41.3	22	8.7	0.866	-3.36	-1.68	22.7	-4.55	2.79
41.3	22	8.7	0.866	-3.36	-1.68	10.8	-2.18	2.79
41.3	22	8.7	0.866	-3.36	-1.68	10.8	-4.55	1.32
41.3	7.09	14.4	0.998	-3.17	-0.855	22.7	-2.18	1.32
72.1	22	14.4	0.998	-3.17	-0.855	22.7	-2.18	1.32
72.1	7.09	8.7	0.998	-3.17	-0.855	22.7	-2.18	1.32
72.1	7.09	14.4	0.866	-3.17	-0.855	22.7	-2.18	1.32
72.1	7.09	14.4	0.998	-3.36	-0.855	22.7	-2.18	1.32
72.1	7.09	14.4	0.998	-3.17	-1.68	22.7	-2.18	1.32
72.1	7.09	14.4	0.998	-3.17	-0.855	10.8	-2.18	1.32
72.1	7.09	14.4	0.998	-3.17	-0.855	22.7	-4.55	1.32
72.1	7.09	14.4	0.998	-3.17	-0.855	22.7	-2.18	2.79
72.1	7.09	14.4	0.998	-3.17	-0.855	22.7	-2.18	1.32
198	26.1	14.2	0.91	-2.79	-0.168	20.5	-3.18	1.42
170	26.1	14.2	0.91	-2.79	-0.168	20.5	-3.18	1.42
198	35.1	14.2	0.91	-2.79	-0.168	20.5	-3.18	1.42
198	26.1	10.3	0.91	-2.79	-0.168	20.5	-3.18	1.42
198	26.1	14.2	0.765	-2.79	-0.168	20.5	-3.18	1.42
198	26.1	14.2	0.91	-2.49	-0.168	20.5	-3.18	1.42
198	26.1	14.2	0.91	-2.79	-1.02	20.5	-3.18	1.42
198	26.1	14.2	0.91	-2.79	-0.168	12.7	-3.18	1.42
198	26.1	14.2	0.91	-2.79	-0.168	20.5	-4.97	1.42
198	26.1	14.2	0.91	-2.79	-0.168	20.5	-3.18	2.47
198	35.1	10.3	0.765	-2.49	-1.02	12.7	-4.97	2.47
170	26.1	10.3	0.765	-2.49	-1.02	12.7	-4.97	2.47
170	35.1	14.2	0.765	-2.49	-1.02	12.7	-4.97	2.47
170	35.1	10.3	0.91	-2.49	-1.02	12.7	-4.97	2.47
170	35.1	10.3	0.765	-2.79	-1.02	12.7	-4.97	2.47
170	35.1	10.3	0.765	-2.49	-0.168	12.7	-4.97	2.47
170	35.1	10.3	0.765	-2.49	-1.02	20.5	-4.97	2.47
170	35.1	10.3	0.765	-2.49	-1.02	12.7	-3.18	2.47
170	35.1	10.3	0.765	-2.49	-1.02	12.7	-4.97	1.42
170	35.1	10.3	0.765	-2.49	-1.02	12.7	-4.97	2.47
166	16.3	14.7	0.879	-2.52	-0.719	14.2	-5	2.6
53.3	16.3	14.7	0.879	-2.52	-0.719	14.2	-5	2.6
166	13.1	14.7	0.879	-2.52	-0.719	14.2	-5	2.6
166	16.3	11	0.879	-2.52	-0.719	14.2	-5	2.6
166	16.3	14.7	0.96	-2.52	-0.719	14.2	-5	2.6
166	16.3	14.7	0.879	-2.78	-0.719	14.2	-5	2.6
166	16.3	14.7	0.879	-2.52	-1.25	14.2	-5	2.6
166	16.3	14.7	0.879	-2.52	-0.719	10.2	-5	2.6
166	16.3	14.7	0.879	-2.52	-0.719	14.2	-4.46	2.6
166	16.3	14.7	0.879	-2.52	-0.719	14.2	-5	2.08
166	13.1	11	0.96	-2.78	-1.25	10.2	-4.46	2.08
53.3	16.3	11	0.96	-2.78	-1.25	10.2	-4.46	2.08
53.3	13.1	14.7	0.96	-2.78	-1.25	10.2	-4.46	2.08
53.3	13.1	11	0.879	-2.78	-1.25	10.2	-4.46	2.08
53.3	13.1	11	0.96	-2.52	-1.25	10.2	-4.46	2.08
53.3	13.1	11	0.96	-2.78	-0.719	10.2	-4.46	2.08
53.3	13.1	11	0.96	-2.78	-1.25	14.2	-4.46	2.08
53.3	13.1	11	0.96	-2.78	-1.25	10.2	-5	2.08
53.3	13.1	11	0.96	-2.78	-1.25	10.2	-4.46	2.6
53.3	13.1	11	0.96	-2.78	-1.25	10.2	-4.46	2.08
51	29.6	10.4	0.834	-3.08	-1.2	24.5	-2.79	1.24
144	29.6	10.4	0.834	-3.08	-1.2	24.5	-2.79	1.24
51	36.7	10.4	0.834	-3.08	-1.2	24.5	-2.79	1.24
51	29.6	12.5	0.834	-3.08	-1.2	24.5	-2.79	1.24
51	29.6	10.4	0.787	-3.08	-1.2	24.5	-2.79	1.24
51	29.6	10.4	0.834	-3.58	-1.2	24.5	-2.79	1.24
51	29.6	10.4	0.834	-3.08	-0.619	24.5	-2.79	1.24
51	29.6	10.4	0.834	-3.08	-1.2	20.2	-2.79	1.24
51	29.6	10.4	0.834	-3.08	-1.2	24.5	-2.38	1.24
51	29.6	10.4	0.834	-3.08	-1.2	24.5	-2.79	1.19
51	36.7	12.5	0.787	-3.58	-0.619	20.2	-2.38	1.19
144	29.6	12.5	0.787	-3.58	-0.619	20.2	-2.38	1.19
144	36.7	10.4	0.787	-3.58	-0.619	20.2	-2.38	1.19
144	36.7	12.5	0.834	-3.58	-0.619	20.2	-2.38	1.19
144	36.7	12.5	0.787	-3.08	-0.619	20.2	-2.38	1.19
144	36.7	12.5	0.787	-3.58	-1.2	20.2	-2.38	1.19
144	36.7	12.5	0.787	-3.58	-0.619	24.5	-2.38	1.19
144	36.7	12.5	0.787	-3.58	-0.619	20.2	-2.79	1.19
144	36.7	12.5	0.787	-3.58	-0.619	20.2	-2.38	1.24
144	36.7	12.5	0.787	-3.58	-0.619	20.2	-2.38	1.19
93.8	6.99	12.4	0.953	-3.69	-1.88	7.71	-2.26	1.58
198	6.99	12.4	0.953	-3.69	-1.88	7.71	-2.26	1.58
93.8	30.4	12.4	0.953	-3.69	-1.88	7.71	-2.26	1.58
93.8	6.99	15.2	0.953	-3.69	-1.88	7.71	-2.26	1.58
93.8	6.99	12.4	0.877	-3.69	-1.88	7.71	-2.26	1.58
93.8	6.99	12.4	0.953	-2.02	-1.88	7.71	-2.26	1.58
93.8	6.99	12.4	0.953	-3.69	-0.163	7.71	-2.26	1.58
93.8	6.99	12.4	0.953	-3.69	-1.88	6.01	-2.26	1.58
93.8	6.99	12.4	0.953	-3.69	-1.88	7.71	-3.38	1.58
93.8	6.99	12.4	0.953	-3.69	-1.88	7.71	-2.26	2.62
93.8	30.4	15.2	0.877	-2.02	-0.163	6.01	-3.38	2.62
198	6.99	15.2	0.877	-2.02	-0.163	6.01	-3.38	2.62
198	30.4	12.4	0.877	-2.02	-0.163	6.01	-3.38	2.62
198	30.4	15.2	0.953	-2.02	-0.163	6.01	-3.38	2.62
198	30.4	15.2	0.877	-3.69	-0.163	6.01	-3.38	2.62
198	30.4	15.2	0.877	-2.02	-1.88	6.01	-3.38	2.62
198	30.4	15.2	0.877	-2.02	-0.163	7.71	-3.38	2.62
198	30.4	15.2	0.877	-2.02	-0.163	6.01	-2.26	2.62
198	30.4	15.2	0.877	-2.02	-0.163	6.01	-3.38	1.58
198	30.4	15.2	0.877	-2.02	-0.163	6.01	-3.38	2.62
118	36.7	7.94	0.776	-2.13	-0.392	18.6	-4	2.19
88.9	36.7	7.94	0.776	-2.13	-0.392	18.6	-4	2.19
118	19.4	7.94	0.776	-2.13	-0.392	18.6	-4	2.19
118	36.7	9.32	0.776	-2.13	-0.392	18.6	-4	2.19
118	36.7	7.94	0.86	-2.13	-0.392	18.6	-4	2.19
118	36.7	7.94	0.776	-3.34	-0.392	18.6	-4	2.19
118	36.7	7.94	0.776	-2.13	-1.97	18.6	-4	2.19
118	36.7	7.94	0.776	-2.13	-0.392	16	-4	2.19
118	36.7	7.94	0.776	-2.13	-0.392	18.6	-3.59	2.19
118	36.7	7.94	0.776	-2.13	-0.392	18.6	-4	1.72
118	19.4	9.32	0.86	-3.34	-1.97	16	-3.59	1.72
88.9	36.7	9.32	0.86	-3.34	-1.97	16	-3.59	1.72
88.9	19.4	7.94	0.86	-3.34	-1.97	16	-3.59	1.72
88.9	19.4	9.32	0.776	-3.34	-1.97	16	-3.59	1.72
88.9	19.4	9.32	0.86	-2.13	-1.97	16	-3.59	1.72
88.9	19.4	9.32	0.86	-3.34	-0.392	16	-3.59	1.72
88.9	19.4	9.32	0.86	-3.34	-1.97	18.6	-3.59	1.72
88.9	19.4	9.32	0.86	-3.34	-1.97	16	-4	1.72
88.9	19.4	9.32	0.86	-3.34	-1.97	16	-3.59	2.19
88.9	19.4	9.32	0.86	-3.34	-1.97	16	-3.59	1.72
113	5.03	16.9	0.929	-3.48	-1.13	23.4	-2.28	2.46
187	5.03	16.9	0.929	-3.48	-1.13	23.4	-2.28	2.46
113	18.4	16.9	0.929	-3.48	-1.13	23.4	-2.28	2.46
113	5.03	11.9	0.929	-3.48	-1.13	23.4	-2.28	2.46
113	5.03	16.9	0.971	-3.48	-1.13	23.4	-2.28	2.46
113	5.03	16.9	0.929	-3.01	-1.13	23.4	-2.28	2.46
113	5.03	16.9	0.929	-3.48	-0.494	23.4	-2.28	2.46
113	5.03	16.9	0.929	-3.48	-1.13	11.3	-2.28	2.46
113	5.03	16.9	0.929	-3.48	-1.13	23.4	-4.2	2.46
113	5.03	16.9	0.929	-3.48	-1.13	23.4	-2.28	1.3
113	18.4	11.9	0.971	-3.01	-0.494	11.3	-4.2	1.3
187	5.03	11.9	0.971	-3.01	-0.494	11.3	-4.2	1.3
187	18.4	16.9	0.971	-3.01	-0.494	11.3	-4.2	1.3
187	18.4	11.9	0.929	-3.01	-0.494	11.3	-4.2	1.3
187	18.4	11.9	0.971	-3.48	-0.494	11.3	-4.2	1.3
187	18.4	11.9	0.971	-3.01	-1.13	11.3	-4.2	1.3
187	18.4	11.9	0.971	-3.01	-0.494	23.4	-4.2	1.3
187	18.4	11.9	0.971	-3.01	-0.494	11.3	-2.28	1.3
187	18.4	11.9	0.971	-3.01	-0.494	11.3	-4.2	2.46
187	18.4	11.9	0.971	-3.01	-0.494	11.3	-4.2	1.3
92.8	36.5	11.2	0.847	-2.92	-0.655	12.9	-3.93	1.82
99.9	36.5	11.2	0.847	-2.92	-0.655	12.9	-3.93	1.82
92.8	29.2	11.2	0.847	-2.92	-0.655	12.9	-3.93	1.82
92.8	36.5	12.9	0.847	-2.92	-0.655	12.9	-3.93	1.82
92.8	36.5	11.2	0.766	-2.92	-0.655	12.9	-3.93	1.82
92.8	36.5	11.2	0.847	-2.31	-0.655	12.9	-3.93	1.82
92.8	36.5	11.2	0.847	-2.92	-1.63	12.9	-3.93	1.82
92.8	36.5	11.2	0.847	-2.92	-0.655	21.3	-3.93	1.82
92.8	36.5	11.2	0.847	-2.92	-0.655	12.9	-2.87	1.82
92.8	36.5	11.2	0.847	-2.92	-0.655	12.9	-3.93	2.41
92.8	29.2	12.9	0.766	-2.31	-1.63	21.3	-2.87	2.41
99.9	36.5	12.9	0.766	-2.31	-1.63	21.3	-2.87	2.41
99.9	29.2	11.2	0.766	-2.31	-1.63	21.3	-2.87	2.41
99.9	29.2	12.9	0.847	-2.31	-1.63	21.3	-2.87	2.41
99.9	29.2	12.9	0.766	-2.92	-1.63	21.3	-2.87	2.41
99.9	29.2	12.9	0.766	-2.31	-0.655	21.3	-2.87	2.41
99.9	29.2	12.9	0.766	-2.31	-1.63	12.9	-2.87	2.41
99.9	29.2	12.9	0.766	-2.31	-1.63	21.3	-3.93	2.41
99.9	29.2	12.9	0.766	-2.31	-1.63	21.3	-2.87	1.82
99.9	29.2	12.9	0.766	-2.31	-1.63	21.3	-2.87	2.41
45	17.6	13.9	0.995	-2.31	-0.454	19.7	-4.84	1.47
62.7	17.6	13.9	0.995	-2.31	-0.454	19.7	-4.84	1.47
45	36.1	13.9	0.995	-2.31	-0.454	19.7	-4.84	1.47
45	17.6	14.9	0.995	-2.31	-0.454	19.7	-4.84	1.47
45	17.6	13.9	0.929	-2.31	-0.454	19.7	-4.84	1.47
45	17.6	13.9	0.995	-3.75	-0.454	19.7	-4.84	1.47
45	17.6	13.9	0.995	-2.31	-1.09	19.7	-4.84	1.47
45	17.6	13.9	0.995	-2.31	-0.454	7.4	-4.84	1.47
45	17.6	13.9	0.995	-2.31	-0.454	19.7	-2.33	1.47
45	17.6	13.9	0.995	-2.31	-0.454	19.7	-4.84	1.77
45	36.1	14.9	0.929	-3.75	-1.09	7.4	-2.33	1.77
62.7	17.6	14.9	0.929	-3.75	-1.09	7.4	-2.33	1.77
62.7	36.1	13.9	0.929	-3.75	-1.09	7.4	-2.33	1.77
62.7	36.1	14.9	0.995	-3.75	-1.09	7.4	-2.33	1.77
62.7	36.1	14.9	0.929	-2.31	-1.09	7.4	-2.33	1.77
62.7	36.1	14.9	0.929	-3.75	-0.454	7.4	-2.33	1.77
62.7	36.1	14.9	0.929	-3.75	-1.09	19.7	-2.33	1.77
62.7	36.1	14.9	0.929	-3.75	-1.09	7.4	-4.84	1.77
62.7	36.1	14.9	0.929	-3.75	-1.09	7.4	-2.33	1.47
62.7	36.1	14.9	0.929	-3.75	-1.09	7.4	-2.33	1.77
155	30.6	8.33	0.796	-3.87	-1.94	9.03	-2.91	2.86
135	30.6	8.33	0.796	-3.87	-1.94	9.03	-2.91	2.86
155	11.6	8.33	0.796	-3.87	-1.94	9.03	-2.91	2.86
155	30.6	8.29	0.796	-3.87	-1.94	9.03	-2.91	2.86
155	30.6	8.33	0.818	-3.87	-1.94	9.03	-2.91	2.86
155	30.6	8.33	0.796	-2.57	-1.94	9.03	-2.91	2.86
155	30.6	8.33	0.796	-3.87	-0.788	9.03	-2.91	2.86
155	30.6	8.33	0.796	-3.87	-1.94	17.4	-2.91	2.86
155	30.6	8.33	0.796	-3.87	-1.94	9.03	-4.79	2.86
155	30.6	8.33	0.796	-3.87	-1.94	9.03	-2.91	2.88
155	11.6	8.29	0.818	-2.57	-0.788	17.4	-4.79	2.88
135	30.6	8.29	0.818	-2.57	-0.788	17.4	-4.79	2.88
135	11.6	8.33	0.818	-2.57	-0.788	17.4	-4.79	2.88
135	11.6	8.29	0.796	-2.57	-0.788	17.4	-4.79	2.88
135	11.6	8.29	0.818	-3.87	-0.788	17.4	-4.79	2.88
135	11.6	8.29	0.818	-2.57	-1.94	17.4	-4.79	2.88
135	11.6	8.29	0.818	-2.57	-0.788	9.03	-4.79	2.88
135	11.6	8.29	0.818	-2.57	-0.788	17.4	-2.91	2.88
135	11.6	8.29	0.818	-2.57	-0.788	17.4	-4.79	2.86
135	11.6	8.29	0.818	-2.57	-0.788	17.4	-4.79	2.88
190	20.7	10.7	0.765	-3.57	-1.43	15.3	-4.52	1.16
83	20.7	10.7	0.765	-3.57	-1.43	15.3	-4.52	1.16
190	34.5	10.7	0.765	-3.57	-1.43	15.3	-4.52	1.16
190	20.7	7.74	0.765	-3.57	-1.43	15.3	-4.52	1.16
190	20.7	10.7	0.904	-3.57	-1.43	15.3	-4.52	1.16
190	20.7	10.7	0.765	-2.17	-1.43	15.3	-4.52	1.16
190	20.7	10.7	0.765	-3.57	-0.554	15.3	-4.52	1.16
190	20.7	10.7	0.765	-3.57	-1.43	19.9	-4.52	1.16
190	20.7	10.7	0.765	-3.57	-1.43	15.3	-4.26	1.16
190	20.7	10.7	0.765	-3.57	-1.43	15.3	-4.52	2.51
190	34.5	7.74	0.904	-2.17	-0.554	19.9	-4.26	2.51
83	20.7	7.74	0.904	-2.17	-0.554	19.9	-4.26	2.51
83	34.5	10.7	0.904	-2.17	-0.554	19.9	-4.26	2.51
83	34.5	7.74	0.765	-2.17	-0.554	19.9	-4.26	2.51
83	34.5	7.74	0.904	-3.57	-0.554	19.9	-4.26	2.51
83	34.5	7.74	0.904	-2.17	-1.43	19.9	-4.26	2.51
83	34.5	7.74	0.904	-2.17	-0.554	15.3	-4.26	2.51
83	34.5	7.74	0.904	-2.17	-0.554	19.9	-4.52	2.51
83	34.5	7.74	0.904	-2.17	-0.554	19.9	-4.26	1.16
83	34.5	7.74	0.904	-2.17	-0.554	19.9	-4.26	2.51
32.1	25.3	15	0.964	-2	-0.91	5.96	-3.25	2.55
159	25.3	15	0.964	-2	-0.91	5.96	-3.25	2.55
32.1	5.61	15	0.964	-2	-0.91	5.96	-3.25	2.55
32.1	25.3	16.7	0.964	-2	-0.91	5.96	-3.25	2.55
32.1	25.3	15	0.859	-2	-0.91	5.96	-3.25	2.55
32.1	25.3	15	0.964	-3.47	-0.91	5.96	-3.25	2.55
32.1	25.3	15	0.964	-2	-1.33	5.96	-3.25	2.55
32.1	25.3	15	0.964	-2	-0.91	9.87	-3.25	2.55
32.1	25.3	15	0.964	-2	-0.91	5.96	-2.6	2.55
32.1	25.3	15	0.964	-2	-0.91	5.96	-3.25	1.65
32.1	5.61	16.7	0.859	-3.47	-1.33	9.87	-2.6	1.65
159	25.3	16.7	0.859	-3.47	-1.33	9.87	-2.6	1.65
159	5.61	15	0.859	-3.47	-1.33	9.87	-2.6	1.65
159	5.61	16.7	0.964	-3.47	-1.33	9.87	-2.6	1.65
159	5.61	16.7	0.859	-2	-1.33	9.87	-2.6	1.65
159	5.61	16.7	0.859	-3.47	-0.91	9.87	-2.6	1.65
159	5.61	16.7	0.859	-3.47	-1.33	5.96	-2.6	1.65
159	5.61	16.7	0.859	-3.47	-1.33	9.87	-3.25	1.65
159	5.61	16.7	0.859	-3.47	-1.33	9.87	-2.6	2.55
159	5.61	16.7	0.859	-3.47	-1.33	9.87	-2.6	1.65
80.4	11.4	7.68	0.816	-2.64	-0.232	21.6	-2.73	2.15
118	11.4	7.68	0.816	-2.64	-0.232	21.6	-2.73	2.15
80.4	16.8	7.68	0.816	-2.64	-0.232	21.6	-2.73	2.15
80.4	11.4	13.5	0.816	-2.64	-0.232	21.6	-2.73	2.15
80.4	11.4	7.68	0.946	-2.64	-0.232	21.6	-2.73	2.15
80.4	11.4	7.68	0.816	-2.91	-0.232	21.6	-2.73	2.15
80.4	11.4	7.68	0.816	-2.64	-1.89	21.6	-2.73	2.15
80.4	11.4	7.68	0.816	-2.64	-0.232	23.8	-2.73	2.15
80.4	11.4	7.68	0.816	-2.64	-0.232	21.6	-3.21	2.15
80.4	11.4	7.68	0.816	-2.64	-0.232	21.6	-2.73	2.05
80.4	16.8	13.5	0.946	-2.91	-1.89	23.8	-3.21	2.05
118	11.4	13.5	0.946	-2.91	-1.89	23.8	-3.21	2.05
118	16.8	7.68	0.946	-2.91	-1.89	23.8	-3.21	2.05
118	16.8	13.5	0.816	-2.91	-1.89	23.8	-3.21	2.05
118	16.8	13.5	0.946	-2.64	-1.89	23.8	-3.21	2.05
118	16.8	13.5	0.946	-2.91	-0.232	23.8	-3.21	2.05
118	16.8	13.5	0.946	-2.91	-1.89	21.6	-3.21	2.05
118	16.8	13.5	0.946	-2.91	-1.89	23.8	-2.73	2.05
118	16.8	13.5	0.946	-2.91	-1.89	23.8	-3.21	2.15
118	16.8	13.5	0.946	-2.91	-1.89	23.8	-3.21	2.05
149	32.4	12.1	0.897	-3.21	-1.75	12.1	-3.53	1.5
34.7	32.4	12.1	0.897	-3.21	-1.75	12.1	-3.53	1.5
149	23.2	12.1	0.897	-3.21	-1.75	12.1	-3.53	1.5
149	32.4	10.1	0.897	-3.21	-1.75	12.1	-3.53	1.5
149	32.4	12.1	0.807	-3.21	-1.75	12.1	-3.53	1.5
149	32.4	12.1	0.897	-3.73	-1.75	12.1	-3.53	1.5
149	32.4	12.1	0.897	-3.21	-0.23	12.1	-3.53	1.5
149	32.4	12.1	0.897	-3.21	-1.75	13.8	-3.53	1.5
149	32.4	12.1	0.897	-3.21	-1.75	12.1	-3.74	1.5
149	32.4	12.1	0.897	-3.21	-1.75	12.1	-3.53	1.18
149	23.2	10.1	0.807	-3.73	-0.23	13.8	-3.74	1.18
34.7	32.4	10.1	0.807	-3.73	-0.23	13.8	-3.74	1.18
34.7	23.2	12.1	0.807	-3.73	-0.23	13.8	-3.74	1.18
34.7	23.2	10.1	0.897	-3.73	-0.23	13.8	-3.74	1.18
34.7	23.2	10.1	0.807	-3.21	-0.23	13.8	-3.74	1.18
34.7	23.2	10.1	0.807	-3.73	-1.75	13.8	-3.74	1.18
34.7	23.2	10.1	0.807	-3.73	-0.23	12.1	-3.74	1.18
34.7	23.2	10.1	0.807	-3.73	-0.23	13.8	-3.53	1.18
34.7	23.2	10.1	0.807	-3.73	-0.23	13.8	-3.74	1.5
34.7	23.2	10.1	0.807	-3.73	-0.23	13.8	-3.74	1.18
137	14.4	7.02	0.945	-2.83	-1.81	16.9	-4.34	1.09
154	14.4	7.02	0.945	-2.83	-1.81	16.9	-4.34	1.09
137	26.6	7.02	0.945	-2.83	-1.81	16.9	-4.34	1.09
137	14.4	11.2	0.945	-2.83	-1.81	16.9	-4.34	1.09
137	14.4	7.02	0.874	-2.83	-1.81	16.9	-4.34	1.09
137	14.4	7.02	0.945	-2.82	-1.81	16.9	-4.34	1.09
137	14.4	7.02	0.945	-2.83	-1.23	16.9	-4.34	1.09
137	14.4	7.02	0.945	-2.83	-1.81	17.8	-4.34	1.09
137	14.4	7.02	0.945	-2.83	-1.81	16.9	-2	1.09
137	14.4	7.02	0.945	-2.83	-1.81	16.9	-4.34	2.79
